Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0, 1515600.0000003537, 1515600.02, -0.01999964624643326, 18, 18.04, -0.04, NaN, NaN, NaN, 0.1039867103099823, 0.1004553735256195, 0.003531336784362793, 8585, 16851073, 350, 540, 1, 100, 20000, 1000
0.001, 1515618.0000003537, 1515618.04, -0.039999646246433256, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.10976587235927582, 0.10202495008707047, 0.007740922272205353, 8585, 16851009, 7599, 540, 1, 100, 20000, 1000
0.002, 1515636.0000003537, 1515636.02, -0.01999964624643326, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.1454176902770996, 0.14976830780506134, -0.004350617527961731, 8585, 16851041, 6700, 540, 1, 100, 20000, 1000
0.003, 1515654.0000003537, 1515654, 3.537535667419434E-07, 18, 17.98, 0.02, 0, 0, 0, 0.15464849770069122, 0.16135498881340027, -0.006706491112709045, 8585, 16850977, 5801, 540, 1, 100, 20000, 1000
0.004, 1515672.0000003537, 1515671.98, 0.020000353753566742, 18, 17.98, 0.02, 0, 0, 0, 0.17452837526798248, 0.2124635875225067, -0.03793521225452423, 8585, 16851105, 4902, 540, 1, 100, 20000, 1000
0.005, 1515690.0000003537, 1515689.98, 0.020000353753566742, 18, 18, 0, 0, -0.02, 0.02, 0.18123143911361694, 0.17717872560024261, 0.004052713513374329, 8585, 16851073, 4002, 540, 1, 100, 20000, 1000
0.006, 1515708.0000003537, 1515708, 3.537535667419434E-07, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.12182372808456421, 0.17434650659561157, -0.05252277851104736, 8585, 16851137, 3101, 540, 1, 100, 20000, 1000
0.007, 1515726.0000003537, 1515726.02, -0.01999964624643326, 18, 18.02, -0.02, 0, 0, 0, 0.14060567319393158, 0.1342051774263382, 0.006400495767593384, 8585, 16851009, 2199, 540, 1, 100, 20000, 1000
0.008, 1515744.0000003537, 1515744.02, -0.01999964624643326, 18, 18, 0, 0, 0.02, -0.02, 0.14108547568321228, 0.11433921009302139, 0.026746265590190887, 8585, 16851041, 1300, 540, 1, 100, 20000, 1000
0.009000000000000001, 1515762.0000003537, 1515762, 3.537535667419434E-07, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.19256290793418884, 0.18130585551261902, 0.011257052421569824, 8585, 16850977, 400, 540, 1, 100, 20000, 1000
0.01, 1515780.0000003537, 1515779.98, 0.020000353753566742, 18, 17.98, 0.02, 0, 0, 0, 0.288157194852829, 0.17921283841133118, 0.1089443564414978, 8585, 16851105, 8551, 540, 1, 100, 20000, 1000
0.011, 1515798.0000003537, 1515797.96, 0.040000353753566746, 18, 17.98, 0.02, 0, 0, 0, 0.2608092129230499, 0.23646795749664307, 0.02434125542640686, 8585, 16851073, 7652, 540, 1, 100, 20000, 1000
0.012, 1515816.0000003537, 1515815.96, 0.040000353753566746, 18, 18, 0, 0, -0.02, 0.02, 0.205097034573555, 0.21411578357219696, -0.009018748998641968, 8585, 16851137, 6752, 540, 1, 100, 20000, 1000
0.013000000000000001, 1515834.0000003537, 1515834, 3.537535667419434E-07, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.09641940891742706, 0.15876293182373047, -0.062343522906303406, 8585, 16851009, 5850, 540, 1, 100, 20000, 1000
0.014, 1515852.0000003537, 1515852.04, -0.039999646246433256, 18, 18.04, -0.04, 0, 0, 0, 0.027879983186721802, 0.09909896552562714, -0.07121898233890533, 8585, 16850977, 4949, 540, 1, 100, 20000, 1000
0.015, 1515870.0000003537, 1515870.04, -0.039999646246433256, 18, 18, 0, 0, 0.04, -0.04, 0.12592679262161255, 0.11356013268232346, 0.012366659939289093, 8585, 16851105, 4048, 540, 1, 100, 20000, 1000
0.016, 1515888.0000003537, 1515888.04, -0.039999646246433256, 18, 18, 0, 0, 0, 0, 0.11989722400903702, 0.11685971915721893, 0.0030375048518180847, 8585, 16851073, 3149, 540, 1, 100, 20000, 1000
0.017, 1515906.0000003537, 1515906, 3.537535667419434E-07, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.2436852604150772, 0.15796320140361786, 0.08572205901145935, 8585, 16851137, 2251, 540, 1, 100, 20000, 1000
0.018000000000000002, 1515924.0000003537, 1515923.96, 0.040000353753566746, 18, 17.96, 0.04, 0, 0, 0, 0.2535035014152527, 0.24785974621772766, 0.005643755197525024, 8585, 16851009, 1353, 540, 1, 100, 20000, 1000
0.019, 1515942.0000003537, 1515941.96, 0.040000353753566746, 18, 18, 0, 0, -0.04, 0.04, 0.20184198021888733, 0.18546977639198303, 0.016372203826904297, 8585, 16851041, 453, 540, 1, 100, 20000, 1000
0.02, 1515960.0000003537, 1515959.96, 0.040000353753566746, 18, 18, 0, 0, 0, 0, 0.16398553550243378, 0.21206212043762207, -0.04807658493518829, 8585, 16850977, 9502, 540, 1, 100, 20000, 1000
0.021, 1515978.0000003541, 1515977.98, 0.020000354051589966, 18.000000000298023, 18.02, -0.019999999701976776, 2.9802322387695313E-10, -0.019999999701976776, 0.02, 0.19303075969219208, 0.1728711724281311, 0.020159587264060974, 8585, 16851105, 8601, 540, 1, 100, 20000, 1000
0.022, 1515996.0000003541, 1515996.02, -0.019999645948410034, 18, 18.04, -0.04, -2.9802322387695313E-10, -0.020000000298023225, 0.02, 0.051492925733327866, 0.1273559033870697, -0.07586297765374184, 8585, 16851073, 7700, 540, 1, 100, 20000, 1000
0.023, 1516014.0000003541, 1516014.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.12232355773448944, 0.1058577373623848, 0.016465820372104645, 8585, 16851137, 6799, 540, 1, 100, 20000, 1000
