Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0, 3677274.000004361, 3677273.98, 0.020004360675811766, 18, 18, 0, NaN, NaN, NaN, 0.15328465402126312, 0.25315994024276733, -0.09987528622150421, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.001, 3677292.000004361, 3677291.98, 0.020004360675811766, 18, 18, 0, 0, 0, 0, 0.21319669485092163, 0.1803629845380783, 0.03283371031284332, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.002, 3677310.000004361, 3677310.02, -0.019995639324188234, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.07365475594997406, 0.1569041609764099, -0.08324940502643585, 8585, 16851137, 899, 540, 1, 100, 200, 1000
0.003, 3677328.000004361, 3677328.04, -0.03999563932418823, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.1551244705915451, 0.1356535255908966, 0.0194709450006485, 8585, 16851009, 898, 540, 1, 100, 200, 1000
0.004, 3677346.000004361, 3677346.04, -0.03999563932418823, 18, 18, 0, 0, 0.02, -0.02, 0.14532767236232758, 0.12283383309841156, 0.022493839263916016, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.005, 3677364.000004361, 3677364.02, -0.019995639324188234, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.16026411950588226, 0.18773896992206573, -0.02747485041618347, 8585, 16850977, 900, 540, 1, 100, 200, 1000
0.006, 3677382.000004361, 3677381.98, 0.020004360675811766, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.2902102470397949, 0.21270538866519928, 0.07750485837459564, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.007, 3677400.000004361, 3677399.96, 0.04000436067581177, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.31085073947906494, 0.2759563624858856, 0.03489437699317932, 8585, 16851073, 2, 540, 1, 100, 200, 1000
0.008, 3677418.000004361, 3677417.98, 0.020004360675811766, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.14406372606754303, 0.18304136395454407, -0.03897763788700104, 8585, 16851009, 1, 540, 1, 100, 200, 1000
0.009000000000000001, 3677436.000004361, 3677436.04, -0.03999563932418823, 18, 18.06, -0.06, 0, -0.04, 0.04, 0.12137120962142944, 0.1301925778388977, -0.008821368217468262, 8585, 16851041, 899, 540, 1, 100, 200, 1000
0.01, 3677454.000004361, 3677454.06, -0.059995639324188235, 18, 18.02, -0.02, 0, 0.04, -0.04, 0.06623146682977676, 0.08145459741353989, -0.015223130583763123, 8585, 16850977, 898, 540, 1, 100, 200, 1000
0.011, 3677472.000004361, 3677472.04, -0.03999563932418823, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.24597446620464325, 0.1148548349738121, 0.13111963123083115, 8585, 16851105, 898, 540, 1, 100, 200, 1000
0.012, 3677490.000004361, 3677490.02, -0.019995639324188234, 18, 17.98, 0.02, 0, 0, 0, 0.21272289752960205, 0.16632375121116638, 0.04639914631843567, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.013000000000000001, 3677508.000004361, 3677507.96, 0.04000436067581177, 18, 17.94, 0.06, 0, 0.04, -0.04, 0.29475417733192444, 0.24626104533672333, 0.04849313199520111, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.014, 3677526.000004361, 3677525.96, 0.04000436067581177, 18, 18, 0, 0, -0.06, 0.06, 0.22766610980033875, 0.2295338213443756, -0.0018677115440368652, 8585, 16851009, 3, 540, 1, 100, 200, 1000
0.015, 3677544.000004361, 3677543.96, 0.04000436067581177, 18, 18, 0, 0, 0, 0, 0.2212601602077484, 0.19060593843460083, 0.030654221773147583, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.016, 3677562.000004361, 3677561.98, 0.020004360675811766, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.19043241441249847, 0.18481357395648956, 0.005618840456008911, 8585, 16850977, 1, 540, 1, 100, 200, 1000
