Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0, 4000230.0000043395, 4000230.04, -0.03999566078186035, 18, 18.04, -0.04, NaN, NaN, NaN, 0.04718839377164841, 0.1465233564376831, -0.0993349626660347, 8585, 16851009, 899, 540, 1, 100, 200, 1000
0.001, 4000248.0000043395, 4000248.06, -0.059995660781860354, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.10325242578983307, 0.0823574885725975, 0.020894937217235565, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.002, 4000266.0000043395, 4000266.06, -0.059995660781860354, 18, 18, 0, 0, 0.02, -0.02, 0.12963102757930756, 0.1260286569595337, 0.0036023706197738647, 8585, 16850977, 898, 540, 1, 100, 200, 1000
0.003, 4000284.0000043395, 4000284.02, -0.019995660781860353, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.2634872794151306, 0.1622822880744934, 0.10120499134063721, 8585, 16851105, 899, 540, 1, 100, 200, 1000
0.004, 4000302.0000043395, 4000301.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0, 0, 0.29825979471206665, 0.29588666558265686, 0.00237312912940979, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.005, 4000320.0000043395, 4000319.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.22111524641513824, 0.27412742376327515, -0.0530121773481369, 8585, 16851009, 2, 540, 1, 100, 200, 1000
0.006, 4000338.0000043395, 4000337.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.13271386921405792, 0.19559550285339355, -0.06288163363933563, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.007, 4000356.0000043395, 4000356, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.14547230303287506, 0.18272973597049713, -0.03725743293762207, 8585, 16850977, 1, 540, 1, 100, 200, 1000
0.008, 4000374.0000043395, 4000374, 4.339218139648437E-06, 18, 18, 0, 0, 0.02, -0.02, 0.18387830257415771, 0.17844131588935852, 0.005436986684799194, 8585, 16851105, 900, 540, 1, 100, 200, 1000
0.009000000000000001, 4000392.0000043395, 4000392.02, -0.019995660781860353, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.1653897762298584, 0.14543694257736206, 0.019952833652496338, 8585, 16851073, 900, 540, 1, 100, 200, 1000
0.01, 4000410.0000043395, 4000410.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.16936340928077698, 0.15890979766845703, 0.010453611612319946, 8585, 16851137, 900, 540, 1, 100, 200, 1000
0.011, 4000428.0000043395, 4000428, 4.339218139648437E-06, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.24876584112644196, 0.20163178443908691, 0.04713405668735504, 8585, 16851009, 1, 540, 1, 100, 200, 1000
0.012, 4000446.0000043395, 4000445.98, 0.020004339218139648, 18, 17.98, 0.02, 0, 0, 0, 0.2297242432832718, 0.2466447353363037, -0.01692049205303192, 8585, 16851041, 2, 540, 1, 100, 200, 1000
0.013000000000000001, 4000464.0000043395, 4000463.96, 0.04000433921813965, 18, 17.98, 0.02, 0, 0, 0, 0.22720202803611755, 0.21865195035934448, 0.008550077676773071, 8585, 16850977, 2, 540, 1, 100, 200, 1000
0.014, 4000482.0000043395, 4000481.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.21254098415374756, 0.20771390199661255, 0.00482708215713501, 8585, 16851105, 2, 540, 1, 100, 200, 1000
0.015, 4000500.0000043395, 4000500, 4.339218139648437E-06, 18, 18.02, -0.02, 0, 0, 0, 0.09096303582191467, 0.19366653263568878, -0.10270349681377411, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.016, 4000518.0000043395, 4000518.02, -0.019995660781860353, 18, 18.02, -0.02, 0, 0, 0, 0.12892290949821472, 0.16059957444667816, -0.03167666494846344, 8585, 16851009, 900, 540, 1, 100, 200, 1000
0.017, 4000536.0000043395, 4000536.02, -0.019995660781860353, 18, 18, 0, 0, 0.02, -0.02, 0.17212770879268646, 0.1668333262205124, 0.005294382572174072, 8585, 16851041, 900, 540, 1, 100, 200, 1000
0.018000000000000002, 4000554.0000043395, 4000554.02, -0.019995660781860353, 18, 18, 0, 0, 0, 0, 0.17019206285476685, 0.1554310917854309, 0.014760971069335938, 8585, 16850977, 900, 540, 1, 100, 200, 1000
0.019, 4000572.0000043395, 4000571.98, 0.020004339218139648, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.315388023853302, 0.22882474958896637, 0.08656327426433563, 8585, 16851105, 1, 540, 1, 100, 200, 1000
0.02, 4000590.0000043395, 4000589.96, 0.04000433921813965, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.2359739989042282, 0.25920170545578003, -0.02322770655155182, 8585, 16851073, 3, 540, 1, 100, 200, 1000
0.021, 4000608.0000043395, 4000607.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.10688462108373642, 0.19826853275299072, -0.0913839116692543, 8585, 16851137, 1, 540, 1, 100, 200, 1000
0.022, 4000626.0000043395, 4000626.02, -0.019995660781860353, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.08245634287595749, 0.17387565970420837, -0.09141931682825089, 8585, 16851009, 900, 540, 1, 100, 200, 1000
0.023, 4000644.0000043395, 4000644.06, -0.059995660781860354, 18, 18.04, -0.04, 0, 0, 0, 0.11899886280298233, 0.1002073884010315, 0.018791474401950836, 8585, 16851041, 898, 540, 1, 100, 200, 1000
0.024, 4000662.0000043395, 4000662.06, -0.059995660781860354, 18, 18, 0, 0, 0.04, -0.04, 0.13413600623607635, 0.12013669312000275, 0.013999313116073608, 8585, 16850977, 898, 540, 1, 100, 200, 1000
0.025, 4000680.0000043395, 4000680.04, -0.03999566078186035, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.19051074981689453, 0.15629707276821136, 0.034213677048683167, 8585, 16851105, 899, 540, 1, 100, 200, 1000
0.026000000000000002, 4000698.0000043395, 4000698, 4.339218139648437E-06, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.2705782949924469, 0.1967143416404724, 0.07386395335197449, 8585, 16851073, 1, 540, 1, 100, 200, 1000
0.027, 4000716.0000043395, 4000715.96, 0.04000433921813965, 18, 17.96, 0.04, 0, 0, 0, 0.3248259723186493, 0.2694149315357208, 0.05541104078292847, 8585, 16851137, 2, 540, 1, 100, 200, 1000
0.028, 4000734.0000043395, 4000733.96, 0.04000433921813965, 18, 18, 0, 0, -0.04, 0.04, 0.2239282727241516, 0.24561414122581482, -0.021685868501663208, 8585, 16851009, 2, 540, 1, 100, 200, 1000
0.029, 4000752.0000043395, 4000751.98, 0.020004339218139648, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.20740509033203125, 0.16345125436782837, 0.04395383596420288, 8585, 16850977, 2, 540, 1, 100, 200, 1000
